id,headline,make_model,year,type,price_nightly,sleeps,length,fresh_water_tank,electric_service,generator_included,lat,lng,state,city,review_score,review_count,is_instant_book,search_county,has_bathroom,has_generator
1716634,Kraken - 2021 Winnebago Solis 36A,Winnebago Solis 36A,2021,Class B Camping Van,280.0,3,18.0,,,4,61.16,-149.87,AK,Anchorage,80.0,1,False,Anchorage Municipality,0,1
1613277,Luxury Sprinter Adventure Van (Whale Shark),Mercedes Bens Mercedes Sprinter,2008,Class B Camping Van,349.0,2,24.0,,,0,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,0
1667385,2013 Mercedes Sprinter 2500(Seal),Mercedes Sprinter 2500,2013,Class B Camping Van,329.0,4,22.0,,,0,61.16,-149.87,AK,Anchorage,100.0,1,False,Anchorage Municipality,0,0
1714582,Walrus - 2015 Ram ProMaster,Ram Promaster Cargo Van,2015,Class B Camping Van,280.0,2,18.0,,,4,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,1
1714695,Seahorse - 2017 Dodge Grand Caravan,Dodge Grand Caravan,2017,Class B Camping Van,209.0,4,17.0,,,4,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,1
1716734,Sockeye 2018 Dodge Promaster,Dodge Promaster Van,2018,Class B Camping Van,329.0,2,19.0,,,4,61.16,-149.87,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,1
1662870,2021 Mercedes Sprinter 2500(Grey Whale),Mercedes Sprinter 2500,2021,Class B Camping Van,329.0,2,22.0,,,0,61.16,-149.87,AK,Anchorage,100.0,3,False,Anchorage Municipality,0,0
1664369,2016 Ford Transit High Roof 350(Orca),Ford Transit High Roof 350,2016,Class B Camping Van,339.0,4,22.0,30.0,,0,61.16,-149.87,AK,Anchorage,100.0,3,False,Anchorage Municipality,1,0
1476649,Vanlife Alaska | Overland Alaska Unit #1,Ram Promaster 1500,2019,Class B Camping Van,275.0,2,18.0,5.0,,0,61.17,-149.98,AK,Anchorage,0.0,0,False,Anchorage Municipality,0,0
1712184,2017 Roadtrek Adventurous CS,Roadtrek Adventurous CS,2017,Class B Camping Van,136.0,3,24.0,30.0,30.0,0,33.49,-112.41,AZ,Goodyear,99.2,25,True,Maricopa County,1,0
1757842,2023 Ford Transit: Bike Rack Option w/ Flex Miles,Ford Transit Van N/A,2023,Class B Camping Van,140.0,2,19.0,,30.0,0,33.4,-112.17,AZ,Phoenix,0.0,0,False,Maricopa County,0,0
1648755,2023 Winnebago Revel 4x4 Diesel OFF RD7,Winnebago Revel 44E,2023,Class B Camping Van,249.0,3,19.7,21.0,30.0,24,33.49,-112.49,AZ,Buckeye,100.0,6,False,Maricopa County,1,1
1648936,2023 Winnebago Revel 4x4 Diesel OFF RD4,Winnebago Revel 44E,2023,Class B Camping Van,299.0,3,19.7,21.0,30.0,24,33.49,-112.49,AZ,Buckeye,0.0,0,True,Maricopa County,1,1
1650131,2023 Winnebago Revel 4x4 Diesel OFF RD3,Winnebago Revel 44E,2023,Class B Camping Van,299.0,3,19.7,21.0,30.0,4,33.49,-112.49,AZ,Buckeye,100.0,1,True,Maricopa County,1,1
1650340,2023 Winnebago Revel 4X4 Diesel OFF RD8,Winnebago Revel 44E,2023,Class B Camping Van,299.0,3,19.7,21.0,30.0,0,33.49,-112.49,AZ,Buckeye,100.0,2,True,Maricopa County,1,0
1689243,2024 Winnebago Revel 4x4 Diesel OFF RD6,Winnebago Revel 44E,2024,Class B Camping Van,249.0,3,19.6,21.0,30.0,0,33.49,-112.49,AZ,Buckeye,100.0,2,True,Maricopa County,1,0
1609326,"Ponderosa - All Seasons, Adventure Camper Van",Ford Transit T250,2015,Class B Camping Van,102.0,2,18.0,10.0,,0,33.35,-111.88,AZ,Chandler,83.636,11,True,Maricopa County,0,0
1732583,The RoadRunner - 2025 Winnebago Solis 59PX,Winnebago Solis 59PX,2025,Class B Camping Van,195.0,4,21.0,24.0,30.0,24,33.58,-112.03,AZ,Phoenix,100.0,2,True,Maricopa County,1,1
1743299,Mercedes-Benz Sprinter 2500 - 170,mercedes-benz Sprinter 2500,2019,Class B Camping Van,219.0,2,23.0,36.0,30.0,0,33.38,-111.76,AZ,Mesa,100.0,4,False,Maricopa County,1,0
1706592,24 Class B Thor Sanctuary 19L Mercedes 4X4 Diesel,Thor Motor Coach Sanctuary 19LT,2024,Class B Camping Van,700.0,3,19.67,22.0,30.0,4,33.3,-112.14,AZ,Phoenix,100.0,4,False,Maricopa County,1,1
1622538,2022 Thor Motor Coach Tellaro 20AT - Tellie,Thor Motor Coach Tellaro 20AT,2022,Class B Camping Van,172.0,3,21.0,27.0,30.0,4,33.74,-112.55,AZ,Wittmann,96.0,20,False,Maricopa County,1,1
1754760,"Luxury, Beginner Friendly Camper Van with Solar",Pleasure-Way Plateau TS,2021,Class B Camping Van,180.0,3,22.75,24.0,30.0,24,33.5,-112.08,AZ,Phoenix,100.0,1,False,Maricopa County,1,1
1692976,2023 Thor Motor Coach Tellaro 20L,Thor Motor Coach Tellaro 20L,2023,Class B Camping Van,209.0,2,21.0,27.0,30.0,24,33.28,-111.96,AZ,Chandler,100.0,7,True,Maricopa County,1,1
1625083,Solis Searching,Winnebago Solis 59P,2022,Class B Camping Van,225.0,2,20.0,,,24,33.26,-111.81,AZ,Chandler,100.0,15,True,Maricopa County,0,1
1738911,FOUR TENS- 2025 Thor Motor Coach Tranquility 19M,Thor Motor Coach Tranquility 19M,2025,Class B Camping Van,239.0,2,20.0,22.0,30.0,0,33.56,-112.07,AZ,Phoenix,100.0,1,False,Maricopa County,1,0
1592437,Active Pop Top Select | Phoenix | Unlimited Miles,Active Pop Top Select,2022,Class B Camping Van,1000.0,4,21.0,,,0,33.45,-112.02,AZ,Phoenix,0.0,0,True,Maricopa County,0,0
1739532,,Entegra Coach Ethos 20T,2024,Class B Camping Van,225.0,2,21.0,24.0,,5,33.29,-111.95,AZ,Chandler,0.0,0,False,Maricopa County,1,1
1693777,The Getaway Van,Mercedes Sprinter Van OLYMPUS,2023,Class B Camping Van,191.0,2,19.5,30.0,500.0,0,33.33,-111.72,AZ,Gilbert,100.0,10,False,Maricopa County,1,0
1712190,The Roaming Ritz - 2023 Jayco Swift w/ Pop-Top,Jayco Swift 20D,2023,Class B Camping Van,170.0,4,20.0,25.0,30.0,4,33.72,-112.1,AZ,Phoenix,56.0,5,True,Maricopa County,1,1
1521964,2003 Coach House Platinum 232XL FD,Coach House Platinum 232XL FD,2003,Class B Camping Van,1500.0,2,25.0,,30.0,4,33.71,-112.31,AZ,Sun City,100.0,3,False,Maricopa County,0,1
1617128,High-end Mercedes-Benz Airstream Interstate 3500 EXT,Airstream RV Interstate Lounge EXT Lounge EXT,2016,Class B Camping Van,357.0,4,24.0,32.0,30.0,4,33.6,-112.05,AZ,Phoenix,100.0,3,False,Maricopa County,1,1
1742285,"2024 Grech RV Strada-Ion - ""The Bentley of B's!""",Grech RV Strada-ion Tour,2024,Class B Camping Van,319.0,2,24.0,27.0,,0,33.29,-111.95,AZ,Chandler,0.0,0,False,Maricopa County,1,0
1568474,Adventure Tent | Phoenix | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,,,0,33.45,-112.02,AZ,Phoenix,100.0,1,True,Maricopa County,0,0
1679312,Active Pop Top | Phoenix | Unlimited Miles,Active Pop Top,2023,Class B Camping Van,1000.0,4,19.9,20.0,,0,33.45,-112.02,AZ,Phoenix,0.0,0,True,Maricopa County,1,0
1581245,Adventure Tent | Phoenix | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,,,0,33.45,-112.02,AZ,Phoenix,0.0,0,True,Maricopa County,0,0
1581248,Adventure Tent | Phoenix | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,,,0,33.45,-112.02,AZ,Phoenix,0.0,0,True,Maricopa County,0,0
1585161,Active Pop Top | Phoenix | Unlimited Miles,Active Pop Top,2022,Class B Camping Van,1000.0,4,19.9,20.0,,0,33.45,-112.02,AZ,Phoenix,0.0,0,True,Maricopa County,1,0
1585165,Active Pop Top | Phoenix  | Unlimited Miles,Active Pop Top,2022,Class B Camping Van,1000.0,9,19.9,20.0,,0,33.45,-112.02,AZ,Phoenix,80.0,1,True,Maricopa County,1,0
1585166,Active Pop Top | Phoenix | Unlimited Miles,Active Pop Top,2022,Class B Camping Van,1000.0,4,19.9,20.0,,0,33.45,-112.02,AZ,Phoenix,0.0,0,True,Maricopa County,1,0
1592788,Active Pop Top Select | Phoenix | Unlimited Miles,Active Pop Top Select,2022,Class B Camping Van,1000.0,4,21.0,,,0,33.45,-112.02,AZ,Phoenix,0.0,0,True,Maricopa County,0,0
1646861,BLUE STEEL '22 Luxury Mercedes Sprinter Daycruiser,Midwest Automotive Designs Daycruiser 144 Plan B,2022,Class B Camping Van,345.0,2,20.0,23.0,30.0,0,33.31,-111.87,AZ,Chandler,100.0,4,False,Maricopa County,1,0
1755668,2021 Pleasure-Way Tofino Std. Model,Pleasure-Way Tofino Std. Model,2021,Class B Camping Van,150.0,4,17.0,15.0,30.0,4,33.37,-111.76,AZ,Gilbert,100.0,1,True,Maricopa County,1,1
1747340,2025 Winnebago Solis PX - 411125,Winnebago Solis 59PX,2025,Class B Camping Van,335.0,4,21.0,,,24,33.4,-112.0,AZ,Phoenix,100.0,1,False,Maricopa County,0,1
1739870,2025 Phoenix Winnebago Solis 59PX - #409825,Winnebago Solis 59PX,2025,Class B Camping Van,335.0,4,21.0,,,24,33.4,-112.0,AZ,Phoenix,0.0,0,False,Maricopa County,0,1
1739877,2025 Phoenix Winnebago Solis 59PX - #410125,Winnebago Solis 59PX,2025,Class B Camping Van,335.0,4,21.0,,,24,33.4,-112.0,AZ,Phoenix,0.0,0,False,Maricopa County,0,1
1640060,Luxury Camper Van Darwin - Drive Anywhere in US,Thor Motor Coach Scope 18M,2022,Class B Camping Van,149.0,2,18.0,18.0,,24,33.37,-111.9,AZ,Tempe,100.0,2,False,Maricopa County,1,1
1626842,2023 Winnebago Solis 59P Pop Top Seats/Sleeps 4,Winnebago Solis 59P,2023,Class B Camping Van,197.0,4,20.0,21.0,30.0,24,33.36,-111.76,AZ,Gilbert,86.667,6,False,Maricopa County,1,1
1655621,2019 Leisure Travel Serenity 24CB - Rent Cinnamon!,Leisure Travel Serenity 24CB,2019,Class B Camping Van,223.0,4,24.0,42.0,30.0,4,33.72,-111.9,AZ,Scottsdale,0.0,0,False,Maricopa County,1,1
1743566,2026 Luxury Mercedes-Benz Sprinter Ultimate Coach,Ultimate Toys Mercedes-Benz Ultimate Coach,2026,Class B Camping Van,350.0,2,24.0,,,0,33.38,-111.71,AZ,Mesa,0.0,0,False,Maricopa County,0,0
1592671,Eco Haus - A Converted Sprinter,Mercedes Benz Spinter 2500,2011,Class B Camping Van,221.0,2,20.0,40.0,,0,33.44,-111.71,AZ,Mesa,0.0,0,False,Maricopa County,1,0
1739995,2025 OGV Luxury Coach tour solar/air ride/starlink,OGV Luxury Coach V-RV 2TB,2025,Class B Camping Van,350.0,2,24.0,25.0,700.0,-1,33.26,-111.55,AZ,San Tan Valley,0.0,0,False,Pinal County,1,0
1561528,2020 Winnebago Revel 44E,Winnebago Revel 44E,2020,Class B Camping Van,350.0,3,19.0,21.0,250.0,24,34.79,-111.76,AZ,Sedona,0.0,0,True,Yavapai County,1,1
1736136,Sugar POP - 2025 Winnebago Solis,Winnebago Solis 59PX,2025,Class B Camping Van,199.0,4,21.0,20.0,30.0,4,36.2,-94.13,AR,Springdale,0.0,0,True,Benton County,1,1
1747432,Vanaconda-2023 Thor Sanctuary 19P-Luxury Adventure,Thor Motor Coach Sanctuary 19P,2023,Class B Camping Van,225.0,2,19.0,19.0,30.0,24,34.45,-93.04,AR,Hot Springs,0.0,0,False,Clark County,1,1
1758705,2025 WINNEBAGO SOLIS 59P,Winnebago Solis 59P,2025,Class B Camping Van,265.0,4,21.0,21.0,30.0,4,34.9,-92.42,AR,Maumelle,0.0,0,False,Conway County,1,1
1722545,"Adventure Van: For 2, Diesel, A/C & Off-Grid Power",Storyteller Overland Storyteller Overland Stealth MODE 4x4,2022,Class B Camping Van,299.0,2,20.0,20.0,30.0,4,34.78,-92.35,AR,Little Rock,0.0,0,False,Conway County,1,1
1676570,Mercedes-Benz Camper Van  for Couples Getaway,Mercedez Sprint Sprint,2022,Class B Camping Van,199.0,2,19.5,18.0,30.0,4,35.28,-94.43,AR,Fort Smith,100.0,4,False,Crawford County,1,1
1654611,2016 Winnebago ultra lite 28BDHS,Winnebago ultra lite 28BDHS,2016,Class B Camping Van,150.0,5,31.0,,,0,34.3,-94.81,OK,Broken Bow,0.0,0,False,Howard County,0,0
1739481,2021 Winnebago Solis 59P,Winnebago Solis 59P,2021,Class B Camping Van,220.0,5,19.0,,30.0,4,37.75,-122.23,CA,Alameda,100.0,4,True,Alameda County,0,1
1589944,Wandervans SF - Large Van with AC/Heat,Ford Transit Custom,2019,Class B Camping Van,187.0,5,22.0,,,24,37.67,-121.77,CA,Livermore,100.0,2,False,Alameda County,0,1
1752907,New conversion camper van -1998 Chevy Express Van,chevy Chevy Express,1998,Class B Camping Van,80.0,2,18.0,5.0,,0,37.36,-121.95,CA,Santa Clara,100.0,1,False,Alameda County,0,0
1638915,2021 Airstream RV Interstate Nineteen 4x4 Model,Airstream RV Interstate Nineteen Std. Model,2021,Class B Camping Van,329.0,3,19.0,,30.0,4,37.67,-121.9,CA,Pleasanton,100.0,2,False,Alameda County,0,1
1738261,Silver Bullet - 2023 Entegra Launch 4x4,Entegra Coach Launch 19Y,2023,Class B Camping Van,250.0,3,19.0,22.0,30.0,0,37.8,-121.89,CA,Danville,0.0,0,False,Alameda County,1,0
1679316,Active Pop Top Select | San Francisco | Un. Miles,Active Pop Top Select,2022,Class B Camping Van,1000.0,4,21.0,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1710042,Roadtrek Zion lithium batteries & option Starlink,Roadtrek Roadtrek Zion,2019,Class B Camping Van,195.0,3,20.0,35.0,30.0,24,37.73,-122.23,CA,Alameda,100.0,2,False,Alameda County,1,1
1558131,✹Meet Vanessa✹ A Brand New  MBZ Metris  w/Solar,Mercedes Benz Metris Getaway,2020,Class B Camping Van,199.0,4,17.0,8.0,,24,37.82,-121.99,CA,Danville,100.0,7,False,Alameda County,0,1
1648167,2022 Winnebago Solis camper van 4 sleepers upgrade,Winnebago Solis 59P,2022,Class B Camping Van,190.0,4,20.0,21.0,30.0,0,37.31,-121.77,CA,San Jose,100.0,15,False,Alameda County,1,0
1217444,2006 HiRoof Sprinter - 2019 Conversion,Unknown Maybach 32M,2006,Class B Camping Van,139.0,2,17.5,15.0,10.0,24,37.9,-122.0,CA,Walnut Creek,100.0,2,False,Alameda County,1,1
1616669,Odie The HighRoof Sprinter,Unknown Maybach 32M,2006,Class B Camping Van,153.0,2,17.0,15.0,10.0,24,37.9,-122.0,CA,Walnut Creek,60.0,2,False,Alameda County,1,1
1756359,Serenity - Your Cozy Home on Wheels,Dodge Ram Promaster 2500,2018,Class B Camping Van,237.0,4,20.0,30.0,30.0,3,37.64,-122.08,CA,Hayward,0.0,0,True,Alameda County,1,1
